timeline,game_id,league_id,home_team,away_team,attendance,date,time,game_type,played,dh,innings,runs0,runs1,hits0,hits1,errors0,errors1,winning_pitcher,losing_pitcher,save_pitcher,starter0,starter1
0,1,100,2,1,30913,"1997-10-1",2005,3,1,0,9,14,15,18,20,1,1,39,15,0,17,41
1,1,100,2,1,30978,"1997-10-1",2005,3,1,0,9,4,8,8,10,0,0,41,17,0,17,41
2,1,100,2,1,31047,"1997-10-1",2005,3,1,0,9,0,6,6,11,1,0,41,17,0,17,41
3,1,100,2,1,30878,"1997-10-1",2005,3,1,0,9,11,7,14,15,0,2,9,27,0,17,41
4,1,100,2,1,30847,"1997-10-1",2005,3,1,0,9,3,14,7,13,2,0,41,17,0,17,41
5,1,100,2,1,30914,"1997-10-1",2005,3,1,0,11,13,11,17,13,0,0,18,35,0,17,41
6,1,100,2,1,30853,"1997-10-1",2005,3,1,0,9,5,18,8,17,0,0,41,17,0,17,41
7,1,100,2,1,30899,"1997-10-1",2005,3,1,0,9,2,12,5,11,0,0,41,17,0,17,41
8,1,100,2,1,30926,"1997-10-1",2005,3,1,0,9,7,8,10,13,0,0,43,17,35,17,41
9,1,100,2,1,30792,"1997-10-1",2005,3,1,0,9,1,0,6,5,2,2,17,41,18,17,41
10,1,100,2,1,30850,"1997-10-1",2005,3,1,0,9,4,5,9,9,0,1,41,17,35,17,41
11,1,100,2,1,31045,"1997-10-1",2005,3,1,0,9,5,6,8,9,0,1,27,17,35,17,41
12,1,100,2,1,30997,"1997-10-1",2005,3,1,0,9,3,9,9,10,3,1,41,17,27,17,41
13,1,100,2,1,30807,"1997-10-1",2005,3,1,0,12,8,10,12,13,1,0,35,9,0,17,41
14,1,100,2,1,30859,"1997-10-1",2005,3,1,0,9,2,3,4,8,0,1,41,17,35,17,41
15,1,100,2,1,31011,"1997-10-1",2005,3,1,0,9,8,12,16,15,3,2,43,14,0,17,41
16,1,100,2,1,30809,"1997-10-1",2005,3,1,0,9,6,10,13,13,0,0,41,17,39,17,41
17,1,100,2,1,30798,"1997-10-1",2005,3,1,0,9,5,17,5,16,0,0,41,17,0,17,41
18,1,100,2,1,30824,"1997-10-1",2005,3,1,0,9,10,7,8,14,1,0,17,41,18,17,41
19,1,100,2,1,31093,"1997-10-1",2005,3,1,0,11,12,15,22,15,1,2,28,18,0,17,41
20,1,100,2,1,30921,"1997-10-1",2005,3,1,0,9,2,11,10,13,1,0,41,17,0,17,41
21,1,100,2,1,31093,"1997-10-1",2005,3,1,0,9,7,10,7,12,3,3,28,17,35,17,41
22,1,100,2,1,30924,"1997-10-1",2005,3,1,0,9,5,8,8,13,0,0,41,17,35,17,41
23,1,100,2,1,30881,"1997-10-1",2005,3,1,0,9,1,4,5,8,2,1,41,17,35,17,41
24,1,100,2,1,30961,"1997-10-1",2005,3,1,0,11,10,7,10,9,1,2,18,39,0,17,41
25,1,100,2,1,30860,"1997-10-1",2005,3,1,0,9,1,2,11,11,1,1,35,18,0,17,41
26,1,100,2,1,30838,"1997-10-1",2005,3,1,0,9,2,3,7,8,1,0,35,18,0,17,41
27,1,100,2,1,30999,"1997-10-1",2005,3,1,0,9,3,5,8,10,0,0,41,17,35,17,41
28,1,100,2,1,30867,"1997-10-1",2005,3,1,0,9,4,15,10,14,3,0,41,17,0,17,41
29,1,100,2,1,31080,"1997-10-1",2005,3,1,0,9,3,11,7,16,3,1,41,17,0,17,41
30,1,100,2,1,31061,"1997-10-1",2005,3,1,0,9,4,5,7,12,1,0,41,17,35,17,41
31,1,100,2,1,30904,"1997-10-1",2005,3,1,0,10,5,4,9,4,1,1,18,35,0,17,41
32,1,100,2,1,31052,"1997-10-1",2005,3,1,0,9,9,12,11,16,0,0,43,17,35,17,41
33,1,100,2,1,31042,"1997-10-1",2005,3,1,0,9,7,6,11,10,1,0,14,39,18,17,41
34,1,100,2,1,30805,"1997-10-1",2005,3,1,0,9,2,8,5,13,1,0,41,17,43,17,41
35,1,100,2,1,30838,"1997-10-1",2005,3,1,0,9,5,7,12,14,2,1,41,17,35,17,41
36,1,100,2,1,30977,"1997-10-1",2005,3,1,0,9,1,4,8,10,0,0,41,17,35,17,41
37,1,100,2,1,30986,"1997-10-1",2005,3,1,0,9,2,17,8,16,4,1,41,17,0,17,41
38,1,100,2,1,31076,"1997-10-1",2005,3,1,0,9,14,1,13,6,3,1,17,41,0,17,41
39,1,100,2,1,30965,"1997-10-1",2005,3,1,0,9,6,16,11,15,6,2,41,17,0,17,41
40,1,100,2,1,31045,"1997-10-1",2005,3,1,0,9,11,6,14,7,1,1,14,40,0,17,41
41,1,100,2,1,30792,"1997-10-1",2005,3,1,0,9,3,13,10,15,0,1,41,17,0,17,41
42,1,100,2,1,30974,"1997-10-1",2005,3,1,0,9,6,8,10,12,1,1,43,14,35,17,41
43,1,100,2,1,30895,"1997-10-1",2005,3,1,0,9,10,5,15,10,1,0,19,28,18,17,41
44,1,100,2,1,30806,"1997-10-1",2005,3,1,0,9,0,4,4,11,1,0,41,17,43,17,41
45,1,100,2,1,30849,"1997-10-1",2005,3,1,0,9,0,7,2,11,0,0,41,17,0,17,41
46,1,100,2,1,30833,"1997-10-1",2005,3,1,0,9,3,4,7,7,0,0,41,17,35,17,41
