timeline,game_id,team,inning,score
1,1,0,1,2
1,1,1,1,3
1,1,0,2,0
1,1,1,2,1
1,1,0,3,0
1,1,1,3,1
1,1,0,4,2
1,1,1,4,0
1,1,0,5,1
1,1,1,5,0
1,1,0,6,4
1,1,1,6,0
1,1,0,7,1
1,1,1,7,1
1,1,0,8,0
1,1,1,8,7
1,1,0,9,4
1,1,1,9,2
2,1,0,1,0
2,1,1,1,0
2,1,0,2,2
2,1,1,2,0
2,1,0,3,0
2,1,1,3,0
2,1,0,4,0
2,1,1,4,2
2,1,0,5,1
2,1,1,5,4
2,1,0,6,0
2,1,1,6,0
2,1,0,7,0
2,1,1,7,1
2,1,0,8,1
2,1,1,8,1
2,1,0,9,0
2,1,1,9,0
3,1,0,1,0
3,1,1,1,1
3,1,0,2,0
3,1,1,2,0
3,1,0,3,0
3,1,1,3,0
3,1,0,4,0
3,1,1,4,0
3,1,0,5,0
3,1,1,5,0
3,1,0,6,0
3,1,1,6,2
3,1,0,7,0
3,1,1,7,2
3,1,0,8,0
3,1,1,8,1
3,1,0,9,0
3,1,1,9,0
4,1,0,1,0
4,1,1,1,0
4,1,0,2,5
4,1,1,2,3
4,1,0,3,0
4,1,1,3,2
4,1,0,4,2
4,1,1,4,1
4,1,0,5,1
4,1,1,5,0
4,1,0,6,2
4,1,1,6,0
4,1,0,7,0
4,1,1,7,1
4,1,0,8,0
4,1,1,8,0
4,1,0,9,1
4,1,1,9,0
5,1,0,1,0
5,1,1,1,0
5,1,0,2,0
5,1,1,2,1
5,1,0,3,0
5,1,1,3,0
5,1,0,4,0
5,1,1,4,3
5,1,0,5,0
5,1,1,5,4
5,1,0,6,1
5,1,1,6,0
5,1,0,7,0
5,1,1,7,0
5,1,0,8,2
5,1,1,8,6
5,1,0,9,0
5,1,1,9,0
6,1,0,1,0
6,1,1,1,0
6,1,0,2,2
6,1,1,2,0
6,1,0,3,0
6,1,1,3,0
6,1,0,4,0
6,1,1,4,0
6,1,0,5,2
6,1,1,5,10
6,1,0,6,4
6,1,1,6,0
6,1,0,7,3
6,1,1,7,0
6,1,0,8,0
6,1,1,8,1
6,1,0,9,0
6,1,1,9,0
6,1,0,10,0
6,1,1,10,0
6,1,0,11,2
6,1,1,11,0
7,1,0,1,2
7,1,1,1,0
7,1,0,2,0
7,1,1,2,1
7,1,0,3,0
7,1,1,3,10
7,1,0,4,0
7,1,1,4,0
7,1,0,5,1
7,1,1,5,5
7,1,0,6,1
7,1,1,6,0
7,1,0,7,0
7,1,1,7,0
7,1,0,8,1
7,1,1,8,2
7,1,0,9,0
7,1,1,9,0
8,1,0,1,0
8,1,1,1,3
8,1,0,2,0
8,1,1,2,8
8,1,0,3,1
8,1,1,3,0
8,1,0,4,0
8,1,1,4,0
8,1,0,5,0
8,1,1,5,0
8,1,0,6,0
8,1,1,6,1
8,1,0,7,0
8,1,1,7,0
8,1,0,8,0
8,1,1,8,0
8,1,0,9,1
8,1,1,9,0
9,1,0,1,0
9,1,1,1,0
9,1,0,2,1
9,1,1,2,0
9,1,0,3,0
9,1,1,3,0
9,1,0,4,0
9,1,1,4,4
9,1,0,5,0
9,1,1,5,0
9,1,0,6,3
9,1,1,6,1
9,1,0,7,0
9,1,1,7,1
9,1,0,8,0
