player_id,team_id,league_id,position,role,first_name,last_name,nick_name,age,date_of_birth,city_of_birth_id,nation_id,second_nation_id,weight,height,retired,free_agent,last_league_id,last_team_id,organization_id,last_organization_id,language_ids0,language_ids1,uniform_number,experience,person_type,bats,throws,personality_greed,personality_loyalty,personality_play_for_winner,personality_work_ethic,personality_intelligence,personality_leader,historical_id,historical_team_id,best_contract_offer_id,injury_is_injured,injury_dtd_injury,injury_career_ending,injury_dl_left,injury_dl_playoff_round,injury_left,dtd_injury_effect,injury_id,prone_overall,prone_leg,prone_back,prone_arm,fatigue_pitches0,fatigue_pitches1,fatigue_pitches2,fatigue_pitches3,fatigue_pitches4,fatigue_pitches5,fatigue_points,fatigue_played_today,running_ratings_speed,running_ratings_stealing,running_ratings_baserunning,college,draft_year,draft_round,draft_supplemental,draft_pick,draft_overall_pick,draft_eligible,hidden,draft_league_id,draft_team_id,turned_coach,hall_of_fame,rust,inducted,strategy_override_team,strategy_stealing,strategy_running,strategy_bunt_for_hit,strategy_sac_bunt,strategy_hit_run,strategy_hook_start,strategy_hook_relief,strategy_pitch_count,strategy_pitch_around,strategy_no_pinch_if_rested,strategy_never_pinch_hit,strategy_defensive_sub,strategy_dtd_sit_min,strategy_dtd_allow_ph,local_pop,national_pop,draft_protected,morale,morale_player_performance,morale_team_performance,morale_team_transactions,expectation,morale_player_role
1,1,100,6,0,"Kurt","Abbott","",28,"1969-6-2",88813,206,0,180,180,0,0,0,0,1,0,0,-1,7,4,0,1,1,109,71,92,45,95,98,"abbotku01","FLO",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,61,137,85,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,-464,2,0
2,1,100,1,12,"Antonio","Alfonseca","The Octopus",25,"1972-4-16",42625,56,0,235,196,0,0,0,0,1,0,1,0,57,0,0,1,1,29,163,111,183,97,97,"alfonan01","FLO",0,0,0,0,0,0,0,0,0,35,35,35,35,0,0,0,0,0,0,0,0,7,11,10,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,0,4,0
3,1,100,7,0,"Moises","Alou","",31,"1966-7-3",4704,206,0,190,191,0,0,0,0,1,0,0,-1,18,6,0,1,1,106,113,89,79,126,80,"aloumo01","FLO",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,0,69,141,135,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,4,4,0,0,0,-38,0,2,0
4,1,100,5,0,"Alex","Arias","",29,"1967-11-20",55211,206,0,185,191,0,0,0,0,1,0,0,-1,26,5,0,1,1,181,83,125,117,124,111,"ariasal01","FLO",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,33,148,84,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,-42,0,6,0
5,1,100,5,0,"Bobby","Bonilla","Bobby-Bo",34,"1963-2-23",0,206,0,240,191,0,0,0,0,1,0,0,-1,24,11,0,3,1,43,123,17,125,180,65,"bonilbo01","FLO",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,22,1,33,109,53,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,4,4,0,0,0,-31,0,2,0
6,1,100,1,11,"Kevin","Brown","",32,"1965-3-14",50358,206,0,195,193,0,0,0,0,1,0,0,-1,60,10,0,1,1,192,32,116,92,87,52,"brownke01","FLO",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,8,11,12,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,5,5,0,0,0,0,-484,3,0
7,1,100,7,0,"John","Cangelosi","",34,"1963-3-10",12985,206,0,160,173,0,0,0,0,1,0,0,-1,28,10,0,3,2,71,130,76,85,122,120,"cangejo01","FLO",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,65,122,129,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,0,6,0
8,1,100,3,0,"Jeff","Conine","Nine",31,"1966-6-27",77882,206,0,220,185,0,0,0,0,1,0,0,-1,19,6,0,1,1,94,104,92,120,98,94,"coninje01","FLO",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,28,170,82,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,1,0,0,0,0,-39,0,2,0
9,1,100,1,12,"Dennis","Cook","",34,"1962-10-4",0,206,0,185,191,0,0,0,0,1,0,0,1,42,9,0,2,2,95,101,118,78,176,25,"cookde01","FLO",0,0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,30,32,1,10,11,10,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,-41,0,4,0
10,1,100,4,0,"Craig","Counsell","",27,"1970-8-21",75295,206,0,180,183,0,0,0,0,1,0,0,-1,4,1,0,2,1,77,92,103,117,122,159,"counscr01","",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,22,1,27,156,139,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,-40,0,2,0
11,1,100,3,0,"Darren","Daulton","Dutch",35,"1962-1-3",4037,206,0,190,188,0,0,0,0,1,0,0,-1,1,13,0,2,1,82,13,92,118,109,110,"daultda01","PHI",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,23,1,47,154,111,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,3,3,0,0,0,-39,493,2,0
