timeline,player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,ubr
0,3,1997,1,1,100,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.2829,0,0.0000
0,4,1997,1,1,100,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
0,5,1997,1,1,100,1,0,5,5,3,0,6,0,1,1,0,0,1,1,4,0,0,1,0,0,0,0,0,0,0.3343,0,0.0000
0,8,1997,1,1,100,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
0,10,1997,1,1,100,1,0,4,4,1,1,5,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0.0312,0,0.0000
0,11,1997,1,1,100,1,0,3,4,3,0,6,0,1,1,1,0,1,3,3,0,0,1,0,0,0,1,0,0,0.1584,0,0.2169
0,12,1997,1,1,100,1,0,10,4,2,0,6,0,1,1,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0.1725,0,0.3653
0,13,1997,1,1,100,1,0,7,5,1,3,5,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,-0.1407,0,0.0000
0,16,1997,1,1,100,1,0,2,5,2,3,5,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0682,0,0.0000
0,20,1997,1,1,100,1,0,6,6,3,0,6,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0.2662,0,-0.0284
0,22,1997,1,1,100,1,0,9,5,0,1,6,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.1893,0,0.0000
0,24,1997,1,1,100,1,0,8,3,2,0,4,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.1260,0,0.2868
0,26,1997,2,1,100,1,0,2,6,2,0,6,0,1,1,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0.0036,0,0.0000
0,31,1997,2,1,100,1,0,4,5,0,0,6,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,-0.0264,0,0.3246
