timeline,player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs
0,9,1997,1,1,100,1,21,1,6,0,4,0,7,0,1,1,1,1,1,30,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.0251,6.1000,0,3
0,14,1997,1,1,100,1,21,1,7,0,2,1,8,0,1,3,3,2,1,27,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.0647,10.7000,0,4
0,15,1997,1,1,100,1,21,1,5,0,2,1,6,0,1,2,2,1,1,36,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,-0.7958,21.9000,0,3
0,17,1997,1,1,100,1,21,5,23,0,8,3,26,9,3,5,5,3,9,88,0,1,1,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2560,25.2000,0,15
0,18,1997,1,1,100,1,21,0,5,0,4,0,6,0,1,4,4,1,0,18,1,1,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,-0.8007,12.1000,0,1
0,27,1997,2,1,100,1,21,1,5,0,3,1,7,0,1,4,4,1,1,25,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,-0.3931,9.0000,0,3
0,35,1997,2,1,100,1,21,0,6,0,4,2,9,0,3,4,4,0,0,29,2,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,-0.8173,32.3000,0,2
0,39,1997,2,1,100,1,21,0,1,0,0,0,1,0,0,0,0,1,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0.0494,2.1000,0,1
0,40,1997,2,1,100,1,21,1,3,0,1,0,3,0,0,0,0,0,2,17,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0123,0.7000,0,3
0,41,1997,2,1,100,1,21,4,20,0,7,3,23,5,2,5,5,3,8,94,2,1,1,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3125,30.0000,0,14
0,43,1997,2,1,100,1,21,1,7,0,3,2,7,0,0,1,1,0,2,23,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0212,1.8000,0,4
1,9,1997,1,1,100,1,21,1,6,0,2,0,6,0,0,0,0,1,3,26,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0.0399,4.5000,0,4
1,14,1997,1,1,100,1,21,2,8,0,2,2,9,0,1,2,2,1,3,44,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.0071,1.5000,0,6
1,15,1997,1,1,100,1,21,0,3,0,1,1,4,0,1,0,0,1,0,16,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,-0.0091,0.5000,0,2
1,17,1997,1,1,100,1,21,4,16,0,5,3,24,3,7,6,6,6,3,91,0,1,1,0,1,0,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.5527,35.6000,0,12
